,Unnamed: 0.1,Unnamed: 0,id,keyword,location,text,target
0,0,1642,2372,collapsed,Tokyo,GorpuaZikinak and tongue out as she collapsed in the cum puddle her whole body covered,0
1,1,4024,5715,forest%20fire,port matilda pa,Our little forest fire wardens,1
2,2,4532,6445,injured,"Paterson, New Jersey ",Yelp Bolsters Health Care Reviews With Investigative Journalism Sick and injured patients at a local ER are i,1
3,3,3676,5231,fatality,,How many baskets did A Charming Fatality by tonyakappes11 get Mystery Paranormal,0
4,4,630,907,bioterrorism,,To fight bioterrorism sir,1
5,5,5935,8476,screamed,1D | 5SOS | AG,I JUST SCREAMED IN 57 LANGUAGES THIS IS SO GOOD,0
6,6,945,1369,blown%20up,LA/OC/Vegas,PrincessDuck last week wanted the ith sense to get blown up so far so good James could win but hes a huge target and will be gone soon,0
7,7,3916,5569,flood,"British Columbia, Canada",Homecoming Queen Killed on Way Home from the Prom by Flood Waters socialnews,1
8,8,6345,9074,structural%20failure,Bukittinggi  ?? Sumatera Barat,Investigators have said a Virgin Galactic spaceship crash was caused by structural failure after the copilot,1
9,9,269,390,annihilation,Subconscious LA,World Annihilation is Self Transformation Aliens Attack to Exterminate Humans,1
0,0,1642,2372,collapsed,Tokyo,Her whole body was covered in a cum puddle.,0
1,1,4024,5715,forest%20fire,port matilda pa,The little forest fire wardens.,1
2,2,4532,6445,injured,"Paterson, New Jersey ",Sick and injured patients at a local ER are reviewed by Yelp Bolsters Health Care.,1
3,3,3676,5231,fatality,,How many baskets did A Charming Fatality contain?,0
4,4,630,907,bioterrorism,,Sir to fight bio terrorism.,1
5,5,5935,8476,screamed,1D | 5SOS | AG,"This is so good, I just cried in 57 dialects.",0
6,6,945,1369,blown%20up,LA/OC/Vegas,"PrincessDuck wanted to get blown up so far so good James could win, but he will be gone soon.",0
7,7,3916,5569,flood,"British Columbia, Canada",The queen was killed on the way home.,1
8,8,6345,9074,structural%20failure,Bukittinggi  ?? Sumatera Barat,The crash of the spaceship was caused by structural failure.,1
9,9,269,390,annihilation,Subconscious LA,Aliens Attack to Exterminate Humans,1
